action,file,new,object,old,reason,tag,type
,00009-vLpv2VX547B\tasks-island_0.json,Fill the shampoo.,,Fill the shampoo dispenser.,dispenser not in labels; reverted to 'shampoo',,GROUNDING_FIX
,00009-vLpv2VX547B\tasks-island_0.json,Fill the shampoo.,,Fill the shampoo dispenser.,dispenser not in labels; reverted to 'shampoo',,GROUNDING_FIX
,00009-vLpv2VX547B\tasks-island_0.json,Fill the shampoo.,,Fill the shampoo dispenser.,dispenser not in labels; reverted to 'shampoo',,GROUNDING_FIX
turn_on,00016-qk9eeNeR4vw\tasks-island_1.json,,grill,,,vocab_gap:no_boil_action,FLAG
turn_on,00017-oEPjPNSPmzL\tasks-island_1.json,,kettle,,,vocab_gap:no_boil_action,FLAG
turn_on,00017-oEPjPNSPmzL\tasks-island_1.json,,kettle,,,vocab_gap:no_boil_action,FLAG
turn_on,00017-oEPjPNSPmzL\tasks-island_1.json,,kettle,,,vocab_gap:no_boil_action,FLAG
turn_on,00017-oEPjPNSPmzL\tasks-island_1.json,,kettle,,,vocab_gap:no_boil_action,FLAG
turn_on,00020-XYyR54sxe6b\tasks-island_0.json,,kettle,,,vocab_gap:no_boil_action,FLAG
turn_on,00020-XYyR54sxe6b\tasks-island_0.json,,kettle,,,vocab_gap:no_boil_action,FLAG
turn_on,00020-XYyR54sxe6b\tasks-island_0.json,,kettle,,,vocab_gap:no_boil_action,FLAG
turn_on,00020-XYyR54sxe6b\tasks-island_0.json,,kettle,,,vocab_gap:no_boil_action,FLAG
turn_on,00020-XYyR54sxe6b\tasks-island_0.json,,kettle,,,vocab_gap:no_boil_action,FLAG
turn_on,00020-XYyR54sxe6b\tasks-island_0.json,,kettle,,,vocab_gap:no_boil_action,FLAG
turn_on,00022-gmuS7Wgsbrx\tasks-island_0.json,,kettle,,,vocab_gap:no_boil_action,FLAG
turn_on,00022-gmuS7Wgsbrx\tasks-island_0.json,,kettle,,,vocab_gap:no_boil_action,FLAG
turn_on,00022-gmuS7Wgsbrx\tasks-island_0.json,,kettle,,,vocab_gap:no_boil_action,FLAG
turn_on,00022-gmuS7Wgsbrx\tasks-island_0.json,,kettle,,,vocab_gap:no_boil_action,FLAG
turn_on,00022-gmuS7Wgsbrx\tasks-island_0.json,,kettle,,,vocab_gap:no_boil_action,FLAG
turn_on,00022-gmuS7Wgsbrx\tasks-island_0.json,,kettle,,,vocab_gap:no_boil_action,FLAG
,00022-gmuS7Wgsbrx\tasks-island_0.json,Fill the shampoo.,,Fill the shampoo dispenser.,dispenser not in labels; reverted to 'shampoo',,GROUNDING_FIX
turn_on,00022-gmuS7Wgsbrx\tasks-island_0.json,,kettle,,,vocab_gap:no_boil_action,FLAG
,00022-gmuS7Wgsbrx\tasks-island_0.json,Fill the shampoo.,,Fill the shampoo dispenser.,dispenser not in labels; reverted to 'shampoo',,GROUNDING_FIX
turn_on,00022-gmuS7Wgsbrx\tasks-island_0.json,,kettle,,,vocab_gap:no_boil_action,FLAG
turn_on,00022-gmuS7Wgsbrx\tasks-island_0.json,,kettle,,,vocab_gap:no_boil_action,FLAG
turn_on,00022-gmuS7Wgsbrx\tasks-island_0.json,,kettle,,,vocab_gap:no_boil_action,FLAG
turn_on,00022-gmuS7Wgsbrx\tasks-island_0.json,,grill,,,vocab_gap:no_boil_action,FLAG
turn_on,00022-gmuS7Wgsbrx\tasks-island_0.json,,kettle,,,vocab_gap:no_boil_action,FLAG
turn_on,00022-gmuS7Wgsbrx\tasks-island_0.json,,kettle,,,vocab_gap:no_boil_action,FLAG
turn_on,00022-gmuS7Wgsbrx\tasks-island_0.json,,kettle,,,vocab_gap:no_boil_action,FLAG
turn_on,00022-gmuS7Wgsbrx\tasks-island_0.json,,kettle,,,vocab_gap:no_boil_action,FLAG
turn_on,00023-zepmXAdrpjR\tasks-island_0.json,,fireplace,,,vocab_gap:no_ignite_action,FLAG
turn_on,00023-zepmXAdrpjR\tasks-island_0.json,,oven and stove,,,vocab_gap:no_boil_action,FLAG
turn_on,00023-zepmXAdrpjR\tasks-island_0.json,,grill,,,vocab_gap:no_boil_action,FLAG
turn_on,00023-zepmXAdrpjR\tasks-island_0.json,,fireplace,,,vocab_gap:no_ignite_action,FLAG
turn_on,00023-zepmXAdrpjR\tasks-island_0.json,,kettle,,,vocab_gap:no_boil_action,FLAG
turn_on,00023-zepmXAdrpjR\tasks-island_0.json,,fireplace,,,vocab_gap:no_ignite_action,FLAG
turn_on,00023-zepmXAdrpjR\tasks-island_0.json,,grill,,,vocab_gap:no_boil_action,FLAG
turn_on,00023-zepmXAdrpjR\tasks-island_0.json,,oven and stove,,,vocab_gap:no_boil_action,FLAG
turn_on,00023-zepmXAdrpjR\tasks-island_0.json,,grill,,,vocab_gap:no_boil_action,FLAG
turn_on,00023-zepmXAdrpjR\tasks-island_0.json,,fireplace,,,vocab_gap:no_ignite_action,FLAG
turn_on,00023-zepmXAdrpjR\tasks-island_0.json,,fireplace,,,vocab_gap:no_ignite_action,FLAG
turn_on,00023-zepmXAdrpjR\tasks-island_0.json,,grill,,,vocab_gap:no_boil_action,FLAG
turn_on,00023-zepmXAdrpjR\tasks-island_0.json,,fireplace,,,vocab_gap:no_ignite_action,FLAG
turn_on,00023-zepmXAdrpjR\tasks-island_0.json,,oven and stove,,,vocab_gap:no_boil_action,FLAG
turn_on,00023-zepmXAdrpjR\tasks-island_0.json,,grill,,,vocab_gap:no_boil_action,FLAG
turn_on,00023-zepmXAdrpjR\tasks-island_0.json,,fireplace,,,vocab_gap:no_ignite_action,FLAG
turn_on,00023-zepmXAdrpjR\tasks-island_0.json,,fireplace,,,vocab_gap:no_ignite_action,FLAG
turn_on,00023-zepmXAdrpjR\tasks-island_0.json,,kettle,,,vocab_gap:no_boil_action,FLAG
turn_on,00023-zepmXAdrpjR\tasks-island_0.json,,kettle,,,vocab_gap:no_boil_action,FLAG
turn_on,00023-zepmXAdrpjR\tasks-island_0.json,,fireplace,,,vocab_gap:no_ignite_action,FLAG
turn_on,00023-zepmXAdrpjR\tasks-island_0.json,,fireplace,,,vocab_gap:no_ignite_action,FLAG
turn_on,00023-zepmXAdrpjR\tasks-island_0.json,,fireplace,,,vocab_gap:no_ignite_action,FLAG
turn_on,00023-zepmXAdrpjR\tasks-island_0.json,,kettle,,,vocab_gap:no_boil_action,FLAG
turn_on,00023-zepmXAdrpjR\tasks-island_0.json,,grill,,,vocab_gap:no_boil_action,FLAG
turn_on,00023-zepmXAdrpjR\tasks-island_0.json,,oven and stove,,,vocab_gap:no_boil_action,FLAG
