action_id,count,frequency,frequency_percent
wipe,27247,0.15175498201018123,15.175498201018124
straighten,16236,0.0904280797121629,9.04280797121629
pick_up,12546,0.06987624341394406,6.9876243413944055
turn_on,11277,0.0628084167845566,6.28084167845566
inspect,9786,0.05450413821527631,5.450413821527631
place_on,8905,0.0495973176790349,4.95973176790349
scrub,8400,0.04678466799594533,4.678466799594533
dust,7814,0.04352088044289486,4.352088044289486
reposition,6102,0.03398571953705457,3.3985719537054573
open,6089,0.03391331469372751,3.3913314693727514
close,5843,0.03254319227384626,3.2543192273846255
push,5140,0.02862776113085226,2.8627761130852263
smooth,5042,0.0280819400042329,2.8081940004232897
carry,4782,0.026633843137691734,2.6633843137691735
fluff,4607,0.025659162554442873,2.565916255444287
lift,4458,0.024829291657848127,2.482929165784813
place_in,3463,0.01928753634166175,1.9287536341661746
dump,3455,0.019242979514998943,1.9242979514998941
set_control,3065,0.017070834215187194,1.7070834215187194
turn_off,2657,0.014798436055384136,1.4798436055384137
store,2512,0.013990843572120793,1.3990843572120795
hang,2112,0.01176300223898054,1.176300223898054
fold,1899,0.010576676729083355,1.0576676729083354
set_up,1786,0.009947311552471232,0.9947311552471233
load,1759,0.009796932262484266,0.9796932262484266
pour,1757,0.009785793055818564,0.9785793055818565
fill,1729,0.009629844162498747,0.9629844162498746
rinse,1272,0.007084535439386007,0.7084535439386007
polish,1131,0.006299221369454068,0.6299221369454068
align,1091,0.006076437236140042,0.6076437236140042
start_machine,800,0.004455682666280507,0.44556826662805077
stack,785,0.004372138616287748,0.4372138616287748
vacuum,688,0.0038318870930012365,0.38318870930012366
set,609,0.0033918884297060364,0.33918884297060364
plug_in,553,0.003079990643066401,0.3079990643066401
dispose,390,0.0021721452998117474,0.21721452998117474
shake_out,376,0.0020941708531518385,0.20941708531518385
cover,349,0.0019437915631648713,0.19437915631648714
pull,308,0.0017154378265179953,0.17154378265179954
tighten,229,0.0012754391632227953,0.12754391632227952
lock,118,0.0006572131932763749,0.06572131932763749
attach,107,0.0005959475566150178,0.05959475566150179
flush,96,0.000534681919953661,0.05346819199536609
mop,57,0.00031746738997248615,0.031746738997248614
tuck,42,0.00023392333997972664,0.023392333997972664
press,40,0.0002227841333140254,0.022278413331402538
unplug,26,0.0001448096866541165,0.01448096866541165
unlock,10,5.569603332850635e-05,0.0055696033328506344
pack,1,5.569603332850634e-06,0.0005569603332850634
