file,task_idx,step_id,step,verdict,old_action,new_action,old_text,new_text,old_relation,new_relation,note
00009-vLpv2VX547B/tasks-island_0.json,7,4,Adjust the hair dryer in the bathroom cabinet.,G2_tidy,place_in,straighten,Place bathroom cabinet in receptacle.,Straighten the hair dryer.,in,None,adjust=调整→straighten
00017-oEPjPNSPmzL/tasks-island_1.json,88,3,Re-position the decorative plant.,G2_tidy,place_on,reposition,Place decorative plant on surface.,Reposition the decorative plant.,on,None,连字符导致解析失败
00022-gmuS7Wgsbrx/tasks-island_0.json,159,2,Sort them on the book rack.,G1_fix,place_on,place_on,Place book rack on surface.,Place the them on the book rack.,on,on,sort→place_on
00022-gmuS7Wgsbrx/tasks-island_0.json,400,1,Gather books from the book rack.,G1_fix,place_on,place_on,Place book rack on surface.,Place the books from the book rack.,on,on,gather→place_on
00055-HxmXPBbFCkH/tasks-island_1.json,67,5,Align books on the shelf.,G1_fix,place_on,align,Place shelf on surface.,Align the books on the shelf.,on,None,align→align
00057-1UnKg1rAb8A/tasks-island_0.json,70,2,Fold the clothes into the chest of drawers.,G1_fix,place_in,fold,Place chest of drawers in receptacle.,Fold the clothes into the chest of drawers.,in,in,fold保真
00057-1UnKg1rAb8A/tasks-island_0.json,77,5,Fold clothes into the drawer.,G1_fix,place_in,fold,Place drawer in receptacle.,Fold the clothes into the drawer.,in,in,fold保真
00057-1UnKg1rAb8A/tasks-island_1.json,34,1,Adjust the bedding in the cradle.,G2_tidy,place_in,straighten,Place cradle in receptacle.,Straighten the bedding.,in,None,adjust=调整→straighten
00057-1UnKg1rAb8A/tasks-island_1.json,34,6,Neatly arrange books on the shelf.,G1_fix,place_on,place_on,Place shelf on surface.,Place the books on the shelf.,on,on,"副词前缀导致解析失败,手动G1"
00064-gQgtJ9Stk5s/tasks-island_0.json,63,2,Reorganize the shelving in the dining room.,G1_fix,place_in,place_in,Place shelving in receptacle.,Place the shelving in the dining room.,in,in,reorganize→place
00064-gQgtJ9Stk5s/tasks-island_0.json,76,2,Reorganize the shelving in the dining room.,G1_fix,place_in,place_in,Place shelving in receptacle.,Place the shelving in the dining room.,in,in,reorganize→place
00096-6HRFAUDqpTb/tasks-island_0.json,53,1,Put on the rack of weights.,G2_tidy,place_on,straighten,Place the rack of weights.,Straighten the rack of weights.,on,None,"穿戴义无对应动作,降级straighten(整理)"
00096-6HRFAUDqpTb/tasks-island_0.json,77,5,Reorganize the shelf in the refrigerator.,G1_fix,place_in,place_in,Place refrigerator in receptacle.,Place the shelf in the refrigerator.,in,in,reorganize→place
00105-xWvSkKiWQpC/tasks-island_0.json,149,2,File in the file cabinet.,G1_fix,place_in,store,Store the file cabinet.,Store the files in the file cabinet.,in,in,file=归档→store
00109-GTV2Y73Sn5t/tasks-island_0.json,139,4,File in the cabinet.,G1_fix,place_in,store,Store the cabinet.,Store the files in the cabinet.,in,in,file=归档→store
00109-GTV2Y73Sn5t/tasks-island_0.json,177,5,Put on the backpack.,G2_tidy,store,straighten,Store the backpack.,Straighten the backpack.,None,None,"穿戴义无对应动作,降级straighten(整理)"
00135-HeSYRw7eMtG/tasks-island_0.json,29,3,Put on the handbag.,G2_tidy,place_on,straighten,Place the handbag.,Straighten the handbag.,on,None,"穿戴义无对应动作,降级straighten(整理)"
