file,task_idx,step_id,old_action,atomic_step,step_orig,objects
00022-gmuS7Wgsbrx\tasks-island_0.json,259,3,turn_on,Turn on the fan.,Repair the fan.,fan
00022-gmuS7Wgsbrx\tasks-island_0.json,259,7,turn_on,Turn on the lamp.,Repair the lamp.,lamp
00023-zepmXAdrpjR\tasks-island_0.json,104,6,reposition,Reposition the rack.,Repair the rack.,rack
00023-zepmXAdrpjR\tasks-island_0.json,169,4,reposition,Reposition the kitchen cabinet.,Repair the kitchen cabinet.,kitchen cabinet
00031-Wo6kuutE9i7\tasks-island_0.json,108,3,reposition,Reposition the fence.,Repair the fence.,fence
00043-Jfyvj3xn2aJ\tasks-island_2.json,45,1,reposition,Reposition the kitchen cabinet.,Repair the kitchen cabinet.,kitchen cabinet
00059-kJxT5qssH4H\tasks-island_1.json,38,2,reposition,Reposition the sink.,Repair the sink.,sink
00087-YY8rqV6L6rf\tasks-island_2.json,137,4,reposition,Reposition the telephone.,Repair the telephone.,telephone
00096-6HRFAUDqpTb\tasks-island_0.json,77,1,reposition,Reposition the hammer.,Use the hammer to repair a cabinet door.,hammer
00141-iigzG1rtanx\tasks-island_1.json,50,3,reposition,Reposition the dresser.,Repair the dresser.,dresser
00141-iigzG1rtanx\tasks-island_1.json,50,5,reposition,Reposition the cabinet.,Repair the cabinet.,cabinet
00149-UuwwmrTsfBN\tasks-island_0.json,89,3,reposition,Reposition the cabinet.,Repair the cabinet.,cabinet
00149-UuwwmrTsfBN\tasks-island_0.json,126,5,reposition,Reposition the toaster.,Repair the toaster.,toaster
00168-bHKTDQFJxTw\tasks-island_0.json,8,4,reposition,Reposition the toilet.,Repair the toilet.,toilet
00168-bHKTDQFJxTw\tasks-island_0.json,11,2,reposition,Reposition the toilet.,Repair the toilet.,toilet
00168-bHKTDQFJxTw\tasks-island_0.json,17,1,reposition,Reposition the machine.,Repair the machine.,machine
00168-bHKTDQFJxTw\tasks-island_0.json,61,6,reposition,Reposition the machine.,Repair the machine in the restroom area.,machine
00168-bHKTDQFJxTw\tasks-island_0.json,85,3,reposition,Reposition the machine.,Repair the machine.,machine
00245-741Fdj7NLF9\tasks-island_0.json,66,4,reposition,Reposition the sink.,Repair the sink.,sink
00245-741Fdj7NLF9\tasks-island_0.json,97,5,reposition,Reposition the drawer.,Repair the drawer.,drawer
00250-U3oQjwTuMX8\tasks-island_0.json,136,5,reposition,Reposition the sink.,Repair the sink.,sink
00251-wsAYBFtQaL7\tasks-island_0.json,377,5,reposition,Reposition the vent.,Repair the vent.,vent
00254-YMNvYDhK8mB\tasks-island_1.json,149,5,reposition,Reposition the keyboard.,Repair the keyboard.,keyboard
00255-NGyoyh91xXJ\tasks-island_0.json,31,1,reposition,Reposition the ventilation.,Repair the ventilation.,ventilation
00255-NGyoyh91xXJ\tasks-island_0.json,38,1,reposition,Reposition the ventilation.,Repair the ventilation.,ventilation
00255-NGyoyh91xXJ\tasks-island_0.json,54,3,reposition,Reposition the cabinet door.,Repair the cabinet door.,cabinet door
00269-JNiWU5TZLtt\tasks-island_0.json,74,4,reposition,Reposition the rack.,Repair the rack.,rack
00272-kA2nG18hCAr\tasks-island_0.json,71,5,reposition,Reposition the fireplace utensil.,Repair the fireplace utensil handle.,fireplace utensil
00294-PPTLa8SkUfo\tasks-island_0.json,5,3,reposition,Reposition the heater.,Repair the heater unit.,heater
00294-PPTLa8SkUfo\tasks-island_0.json,144,4,reposition,Reposition the heater.,Repair the heater in the bedroom.,heater
00294-PPTLa8SkUfo\tasks-island_0.json,166,3,reposition,Reposition the heater.,Repair the heater.,heater
00294-PPTLa8SkUfo\tasks-island_0.json,276,6,reposition,Reposition the bench.,Repair the bench.,bench
00294-PPTLa8SkUfo\tasks-island_0.json,291,6,reposition,Reposition the bench.,Repair the bench.,bench
00299-bdp1XNEdvmW\tasks-island_0.json,55,4,reposition,Reposition the cabinet.,Repair the cabinet.,cabinet
00397-ZNanfzgCdm3\tasks-island_0.json,4,3,reposition,Reposition the kitchen lower cabinet.,Repair the kitchen lower cabinet.,kitchen lower cabinet
