file,scene_id,task_idx,step_id,error_type,old_action,new_action,old_atomic_step,new_atomic_step,reason
00009-vLpv2VX547B\tasks-island_0.json,00009-vLpv2VX547B,37,3,ROLLBACK,straighten,fluff,Straighten items on the couch.,Fluff items on the couch.,R02 was over-correction; couch/sofa items ARE fluffable
00009-vLpv2VX547B\tasks-island_0.json,00009-vLpv2VX547B,170,3,ROLLBACK,straighten,fluff,Straighten items on the couch.,Fluff items on the couch.,R02 was over-correction; couch/sofa items ARE fluffable
00022-gmuS7Wgsbrx\tasks-island_0.json,00022-gmuS7Wgsbrx,141,4,ROLLBACK,straighten,fluff,Straighten the sofa seat.,Fluff the sofa seat.,R02 was over-correction; couch/sofa items ARE fluffable
00031-Wo6kuutE9i7\tasks-island_0.json,00031-Wo6kuutE9i7,25,4,ROLLBACK,straighten,fluff,Straighten the armchair.,Fluff the armchair.,R02 was over-correction; couch/sofa items ARE fluffable
00033-oPj9qMxrDEa\tasks-island_0.json,00033-oPj9qMxrDEa,18,3,ROLLBACK,straighten,fluff,Straighten items on the armchair.,Fluff items on the armchair.,R02 was over-correction; couch/sofa items ARE fluffable
00034-6imZUJGRUq4\tasks-island_0.json,00034-6imZUJGRUq4,49,2,ROLLBACK,straighten,fluff,Straighten the armchair.,Fluff the armchair.,R02 was over-correction; couch/sofa items ARE fluffable
00034-6imZUJGRUq4\tasks-island_0.json,00034-6imZUJGRUq4,75,5,ROLLBACK,straighten,fluff,Straighten items on the couch.,Fluff items on the couch.,R02 was over-correction; couch/sofa items ARE fluffable
00034-6imZUJGRUq4\tasks-island_0.json,00034-6imZUJGRUq4,131,1,ROLLBACK,straighten,fluff,Straighten items on the couch.,Fluff items on the couch.,R02 was over-correction; couch/sofa items ARE fluffable
00057-1UnKg1rAb8A\tasks-island_0.json,00057-1UnKg1rAb8A,0,2,ROLLBACK,straighten,fluff,Straighten items on the armchair.,Fluff items on the armchair.,R02 was over-correction; couch/sofa items ARE fluffable
00057-1UnKg1rAb8A\tasks-island_1.json,00057-1UnKg1rAb8A,6,1,ROLLBACK,straighten,fluff,Straighten items on the couch.,Fluff items on the couch.,R02 was over-correction; couch/sofa items ARE fluffable
00057-1UnKg1rAb8A\tasks-island_1.json,00057-1UnKg1rAb8A,12,1,ROLLBACK,straighten,fluff,Straighten items on the couch.,Fluff items on the couch.,R02 was over-correction; couch/sofa items ARE fluffable
00062-ACZZiU6BXLz\tasks-island_0.json,00062-ACZZiU6BXLz,47,1,ROLLBACK,straighten,fluff,Straighten the couch.,Fluff the couch.,R02 was over-correction; couch/sofa items ARE fluffable
00062-ACZZiU6BXLz\tasks-island_0.json,00062-ACZZiU6BXLz,133,5,ROLLBACK,straighten,fluff,Straighten the couch.,Fluff the couch.,R02 was over-correction; couch/sofa items ARE fluffable
00062-ACZZiU6BXLz\tasks-island_0.json,00062-ACZZiU6BXLz,156,4,ROLLBACK,straighten,fluff,Straighten the couch.,Fluff the couch.,R02 was over-correction; couch/sofa items ARE fluffable
00064-gQgtJ9Stk5s\tasks-island_0.json,00064-gQgtJ9Stk5s,2,2,ROLLBACK,straighten,fluff,Straighten items on the sofa chair.,Fluff items on the sofa chair.,R02 was over-correction; couch/sofa items ARE fluffable
00081-5biL7VEkByM\tasks-island_1.json,00081-5biL7VEkByM,48,2,ROLLBACK,straighten,fluff,Straighten the sofa.,Fluff the sofa.,R02 was over-correction; couch/sofa items ARE fluffable
00081-5biL7VEkByM\tasks-island_1.json,00081-5biL7VEkByM,69,3,ROLLBACK,straighten,fluff,Straighten items on the sofa.,Fluff items on the sofa.,R02 was over-correction; couch/sofa items ARE fluffable
00081-5biL7VEkByM\tasks-island_1.json,00081-5biL7VEkByM,76,1,ROLLBACK,straighten,fluff,Straighten the sofa.,Fluff the sofa.,R02 was over-correction; couch/sofa items ARE fluffable
00081-5biL7VEkByM\tasks-island_1.json,00081-5biL7VEkByM,112,1,ROLLBACK,straighten,fluff,Straighten the sofa.,Fluff the sofa.,R02 was over-correction; couch/sofa items ARE fluffable
00081-5biL7VEkByM\tasks-island_1.json,00081-5biL7VEkByM,116,5,ROLLBACK,straighten,fluff,Straighten the sofa.,Fluff the sofa.,R02 was over-correction; couch/sofa items ARE fluffable
00081-5biL7VEkByM\tasks-island_1.json,00081-5biL7VEkByM,129,1,ROLLBACK,straighten,fluff,Straighten the sofa.,Fluff the sofa.,R02 was over-correction; couch/sofa items ARE fluffable
00081-5biL7VEkByM\tasks-island_1.json,00081-5biL7VEkByM,147,1,ROLLBACK,straighten,fluff,Straighten the sofa.,Fluff the sofa.,R02 was over-correction; couch/sofa items ARE fluffable
00081-5biL7VEkByM\tasks-island_1.json,00081-5biL7VEkByM,156,2,ROLLBACK,straighten,fluff,Straighten the sofa.,Fluff the sofa.,R02 was over-correction; couch/sofa items ARE fluffable
00081-5biL7VEkByM\tasks-island_1.json,00081-5biL7VEkByM,180,1,ROLLBACK,straighten,fluff,Straighten the sofa.,Fluff the sofa.,R02 was over-correction; couch/sofa items ARE fluffable
00081-5biL7VEkByM\tasks-island_1.json,00081-5biL7VEkByM,192,2,ROLLBACK,straighten,fluff,Straighten the sofa.,Fluff the sofa.,R02 was over-correction; couch/sofa items ARE fluffable
00081-5biL7VEkByM\tasks-island_1.json,00081-5biL7VEkByM,202,7,ROLLBACK,straighten,fluff,Straighten the sofa.,Fluff the sofa.,R02 was over-correction; couch/sofa items ARE fluffable
00081-5biL7VEkByM\tasks-island_1.json,00081-5biL7VEkByM,206,2,ROLLBACK,straighten,fluff,Straighten the sofa.,Fluff the sofa.,R02 was over-correction; couch/sofa items ARE fluffable
00081-5biL7VEkByM\tasks-island_1.json,00081-5biL7VEkByM,214,7,ROLLBACK,straighten,fluff,Straighten the sofa.,Fluff the sofa.,R02 was over-correction; couch/sofa items ARE fluffable
00081-5biL7VEkByM\tasks-island_1.json,00081-5biL7VEkByM,218,5,ROLLBACK,straighten,fluff,Straighten the sofa.,Fluff the sofa.,R02 was over-correction; couch/sofa items ARE fluffable
