file,task_idx,step_id,old_action,new_action,old_text,new_text,step_orig
00009-vLpv2VX547B\tasks-island_0.json,4,1,set_control,tune,Adjust the guitar.,Tune the guitar.,Tune the guitar.
00009-vLpv2VX547B\tasks-island_0.json,32,1,set_control,tune,Adjust the guitar.,Tune the guitar.,Tune the guitar.
00009-vLpv2VX547B\tasks-island_0.json,46,2,start_machine,brew,Start the coffee machine.,Brew with the coffee machine.,Brew coffee in the coffee machine.
00009-vLpv2VX547B\tasks-island_0.json,70,3,set_control,tune,Adjust the guitar.,Tune the guitar.,Adjust the guitar strings.
00009-vLpv2VX547B\tasks-island_0.json,180,6,start_machine,brew,Start the coffee machine.,Brew with the coffee machine.,Brew some coffee using the coffee machine.
00009-vLpv2VX547B\tasks-island_0.json,188,4,attach,repair,Attach the shelf.,Repair the loose shelf.,Repair the loose shelf.
00009-vLpv2VX547B\tasks-island_0.json,195,3,start_machine,brew,Start the coffee machine.,Brew with the coffee machine.,Brew coffee with the coffee machine.
00009-vLpv2VX547B\tasks-island_0.json,257,2,set_control,tune,Adjust the guitar.,Tune the guitar.,Tune the guitar.
00009-vLpv2VX547B\tasks-island_0.json,272,3,set_control,tune,Adjust the guitar.,Tune the guitar.,Tune the guitar.
00016-qk9eeNeR4vw\tasks-island_1.json,96,1,plug_in,charge,Plug in the laptop_computer.,Charge the laptop_computer.,Charge the laptop computer.
00022-gmuS7Wgsbrx\tasks-island_0.json,17,2,turn_on,light,Turn on the candle.,Light the candle.,Light the candle.
00022-gmuS7Wgsbrx\tasks-island_0.json,40,4,turn_on,light,Turn on the candle.,Light the candle.,Light the candle.
00022-gmuS7Wgsbrx\tasks-island_0.json,61,3,turn_on,light,Turn on the candle.,Light the candle.,Light the candle.
00022-gmuS7Wgsbrx\tasks-island_0.json,69,4,plug_in,charge,Plug in the cellular_telephone.,Charge the cellular_telephone.,Charge the cellular telephone.
00022-gmuS7Wgsbrx\tasks-island_0.json,73,2,turn_on,light,Turn on the candle.,Light the candle.,Light a candle.
00022-gmuS7Wgsbrx\tasks-island_0.json,100,1,turn_on,light,Turn on the candle.,Light the candle.,Light the candle.
00022-gmuS7Wgsbrx\tasks-island_0.json,123,4,turn_on,light,Turn on the candle.,Light the candle.,Light the candle.
00022-gmuS7Wgsbrx\tasks-island_0.json,149,1,plug_in,charge,Plug in the cellular_telephone.,Charge the cellular_telephone.,Charge the cellular telephone.
00022-gmuS7Wgsbrx\tasks-island_0.json,152,3,tighten,repair,Tighten the stair.,Repair the loose stair.,Repair the loose stair.
00022-gmuS7Wgsbrx\tasks-island_0.json,160,2,turn_on,light,Turn on the candle.,Light the candle.,Light the candle.
00022-gmuS7Wgsbrx\tasks-island_0.json,176,1,turn_on,light,Turn on the candle.,Light the candle.,Light the candle.
00022-gmuS7Wgsbrx\tasks-island_0.json,207,2,turn_on,light,Turn on the candle.,Light the candle.,Light the candle for ambiance.
00022-gmuS7Wgsbrx\tasks-island_0.json,257,1,straighten,iron,Straighten the clothes.,Iron the clothes.,Iron the clothes.
