file,task_idx,step_id,old_action,atomic_step,step_orig,objects,verdict,new_action,reason
00022-gmuS7Wgsbrx\tasks-island_0.json,259,3,turn_on,Turn on the fan.,Repair the fan.,fan,FLAG,turn_on,"electrical fan, repair intent unclear in action space"
00022-gmuS7Wgsbrx\tasks-island_0.json,259,7,turn_on,Turn on the lamp.,Repair the lamp.,lamp,FLAG,turn_on,"electrical lamp, repair intent unclear in action space"
00023-zepmXAdrpjR\tasks-island_0.json,104,6,reposition,Reposition the rack.,Repair the rack.,rack,REMAP,tighten,rack repair = tightening screws/bolts
00023-zepmXAdrpjR\tasks-island_0.json,169,4,reposition,Reposition the kitchen cabinet.,Repair the kitchen cabinet.,kitchen cabinet,FLAG,reposition,kitchen cabinet repair too ambiguous for single atomic action
00031-Wo6kuutE9i7\tasks-island_0.json,108,3,reposition,Reposition the fence.,Repair the fence.,fence,REMAP,tighten,fence repair = tightening screws/bolts
00043-Jfyvj3xn2aJ\tasks-island_2.json,45,1,reposition,Reposition the kitchen cabinet.,Repair the kitchen cabinet.,kitchen cabinet,FLAG,reposition,kitchen cabinet repair too ambiguous for single atomic action
00059-kJxT5qssH4H\tasks-island_1.json,38,2,reposition,Reposition the sink.,Repair the sink.,sink,REMAP,tighten,sink repair = tightening screws/bolts
00087-YY8rqV6L6rf\tasks-island_2.json,137,4,reposition,Reposition the telephone.,Repair the telephone.,telephone,FLAG,reposition,telephone repair too ambiguous for single atomic action
00141-iigzG1rtanx\tasks-island_1.json,50,3,reposition,Reposition the dresser.,Repair the dresser.,dresser,FLAG,reposition,dresser repair too ambiguous for single atomic action
00141-iigzG1rtanx\tasks-island_1.json,50,5,reposition,Reposition the cabinet.,Repair the cabinet.,cabinet,FLAG,reposition,cabinet repair too ambiguous for single atomic action
00149-UuwwmrTsfBN\tasks-island_0.json,89,3,reposition,Reposition the cabinet.,Repair the cabinet.,cabinet,FLAG,reposition,cabinet repair too ambiguous for single atomic action
00149-UuwwmrTsfBN\tasks-island_0.json,126,5,reposition,Reposition the toaster.,Repair the toaster.,toaster,FLAG,reposition,toaster repair too ambiguous for single atomic action
00168-bHKTDQFJxTw\tasks-island_0.json,8,4,reposition,Reposition the toilet.,Repair the toilet.,toilet,FLAG,reposition,toilet repair too ambiguous for single atomic action
00168-bHKTDQFJxTw\tasks-island_0.json,11,2,reposition,Reposition the toilet.,Repair the toilet.,toilet,FLAG,reposition,toilet repair too ambiguous for single atomic action
00168-bHKTDQFJxTw\tasks-island_0.json,17,1,reposition,Reposition the machine.,Repair the machine.,machine,FLAG,reposition,machine repair too ambiguous for single atomic action
00168-bHKTDQFJxTw\tasks-island_0.json,61,6,reposition,Reposition the machine.,Repair the machine in the restroom area.,machine,FLAG,reposition,machine repair too ambiguous for single atomic action
00168-bHKTDQFJxTw\tasks-island_0.json,85,3,reposition,Reposition the machine.,Repair the machine.,machine,FLAG,reposition,machine repair too ambiguous for single atomic action
