file,task_idx,step_id,step,atomic_step,reason
00009-vLpv2VX547B/tasks-island_0.json,7,4,Adjust the hair dryer in the bathroom cabinet.,Place bathroom cabinet in receptacle.,parse_fail
00009-vLpv2VX547B/tasks-island_0.json,128,2,Put it in the box.,Store the box.,parse_fail
00009-vLpv2VX547B/tasks-island_0.json,260,2,Place it in the storage box.,Store the storage box.,parse_fail
00017-oEPjPNSPmzL/tasks-island_1.json,88,3,Re-position the decorative plant.,Place decorative plant on surface.,parse_fail
00022-gmuS7Wgsbrx/tasks-island_0.json,159,2,Sort them on the book rack.,Place book rack on surface.,parse_fail
00022-gmuS7Wgsbrx/tasks-island_0.json,391,2,Put them in the basket.,Store the basket.,parse_fail
00022-gmuS7Wgsbrx/tasks-island_0.json,400,1,Gather books from the book rack.,Place book rack on surface.,parse_fail
00022-gmuS7Wgsbrx/tasks-island_0.json,403,2,Put it in the backpack.,Store the backpack.,parse_fail
00025-ixTj1aTMup2/tasks-island_0.json,19,3,Set the cooker to off.,Place cooker on surface.,parse_fail
00034-6imZUJGRUq4/tasks-island_0.json,4,2,Put them in the basket.,Store the basket.,parse_fail
00034-6imZUJGRUq4/tasks-island_0.json,6,2,Put it in the storage box.,Store the storage box.,parse_fail
00055-HxmXPBbFCkH/tasks-island_1.json,67,5,Align books on the shelf.,Place shelf on surface.,parse_fail
00057-1UnKg1rAb8A/tasks-island_0.json,70,2,Fold the clothes into the chest of drawers.,Place chest of drawers in receptacle.,parse_fail
00057-1UnKg1rAb8A/tasks-island_0.json,77,5,Fold clothes into the drawer.,Place drawer in receptacle.,parse_fail
00057-1UnKg1rAb8A/tasks-island_1.json,34,1,Adjust the bedding in the cradle.,Place cradle in receptacle.,parse_fail
00057-1UnKg1rAb8A/tasks-island_1.json,34,6,Neatly arrange books on the shelf.,Place shelf on surface.,parse_fail
00064-gQgtJ9Stk5s/tasks-island_0.json,63,2,Reorganize the shelving in the dining room.,Place shelving in receptacle.,parse_fail
00064-gQgtJ9Stk5s/tasks-island_0.json,76,2,Reorganize the shelving in the dining room.,Place shelving in receptacle.,parse_fail
00096-6HRFAUDqpTb/tasks-island_0.json,53,1,Put on the rack of weights.,Place the rack of weights.,parse_fail
00096-6HRFAUDqpTb/tasks-island_0.json,77,5,Reorganize the shelf in the refrigerator.,Place refrigerator in receptacle.,parse_fail
00105-xWvSkKiWQpC/tasks-island_0.json,149,2,File in the file cabinet.,Store the file cabinet.,parse_fail
00109-GTV2Y73Sn5t/tasks-island_0.json,139,4,File in the cabinet.,Store the cabinet.,parse_fail
00109-GTV2Y73Sn5t/tasks-island_0.json,177,5,Put on the backpack.,Store the backpack.,parse_fail
00135-HeSYRw7eMtG/tasks-island_0.json,29,3,Put on the handbag.,Place the handbag.,parse_fail
00135-HeSYRw7eMtG/tasks-island_0.json,37,2,Put them in the basket.,Store the basket.,parse_fail
00135-HeSYRw7eMtG/tasks-island_0.json,54,2,Put it in the basket.,Store the basket.,parse_fail
00143-5Kw4nGdqYtS/tasks-island_0.json,96,6,Put on the shoe.,Place the shoe.,parse_fail
00150-LcAd9dhvVwh/tasks-island_0.json,129,4,Put it in the storage box.,Store the storage box.,parse_fail
00155-iLDo95ZbDJq/tasks-island_0.json,103,3,Put them in the basket.,Store the basket.,parse_fail
00172-bB6nKqfsb1z/tasks-island_0.json,9,4,Put them in the bag.,Store the bag.,parse_fail
00173-qZ4B7U6XE5Y/tasks-island_0.json,124,3,Hide things in the box.,Place box in receptacle.,parse_fail
00203-VoVGtfYrpuQ/tasks-island_0.json,155,2,Put on the shoe.,Place the shoe.,parse_fail
00205-NEVASPhcrxR/tasks-island_1.json,13,2,Put it in the bin.,Store the bin.,parse_fail
00205-NEVASPhcrxR/tasks-island_3.json,86,5,Put on the jewelry.,Place the jewelry.,parse_fail
00205-NEVASPhcrxR/tasks-island_3.json,96,3,Put on the backpack.,Store the backpack.,parse_fail
00238-j6fHrce9pHR/tasks-island_0.json,31,2,Put it in the backpack.,Store the backpack.,parse_fail
00238-j6fHrce9pHR/tasks-island_0.json,91,3,Put on the shoe.,Place the shoe.,parse_fail
00238-j6fHrce9pHR/tasks-island_0.json,147,1,Repot the plant in the flowerpot.,Place the flowerpot.,parse_fail
00238-j6fHrce9pHR/tasks-island_0.json,156,1,Put on the shoe.,Place the shoe.,parse_fail
00250-U3oQjwTuMX8/tasks-island_0.json,15,3,Serve on the tray.,Place the tray.,parse_fail
00250-U3oQjwTuMX8/tasks-island_0.json,80,1,Repot the plant in the flowerpot.,Place the flowerpot.,parse_fail
00251-wsAYBFtQaL7/tasks-island_0.json,272,3,Fold items in the chest of drawers.,Place chest of drawers in receptacle.,parse_fail
00254-YMNvYDhK8mB/tasks-island_1.json,175,3,Organize everything into the binder.,Place binder in receptacle.,parse_fail
00254-YMNvYDhK8mB/tasks-island_1.json,187,4,Neatly arrange items in the cabinet.,Place cabinet in receptacle.,parse_fail
00262-1xGrZPxG1Hz/tasks-island_1.json,45,1,Fold the clothes on the iron board.,Place iron board on surface.,parse_fail
00263-GGBvSFddQgs/tasks-island_2.json,168,6,Put them in the basket.,Store the basket.,parse_fail
00269-JNiWU5TZLtt/tasks-island_0.json,30,2,Put it in the bag.,Store the bag.,parse_fail
00269-JNiWU5TZLtt/tasks-island_0.json,49,4,Put it in the bin.,Store the bin.,parse_fail
00272-kA2nG18hCAr/tasks-island_0.json,0,4,Place it in the basket.,Store the basket.,parse_fail
00272-kA2nG18hCAr/tasks-island_0.json,41,2,Put them in the basket.,Store the basket.,parse_fail
00272-kA2nG18hCAr/tasks-island_0.json,49,2,Adjust the seat on the exercise bike.,Place exercise bike on surface.,parse_fail
00272-kA2nG18hCAr/tasks-island_1.json,3,2,Place it in the storage box.,Store the storage box.,parse_fail
00294-PPTLa8SkUfo/tasks-island_0.json,47,3,Place on the stove.,Place the stove.,parse_fail
00299-bdp1XNEdvmW/tasks-island_0.json,32,2,Put them in the basket.,Store the basket.,parse_fail
00299-bdp1XNEdvmW/tasks-island_0.json,87,3,Put them in the basket.,Store the basket.,parse_fail
00313-PE6kVEtrxtj/tasks-island_0.json,20,3,Put on the bench.,Place the bench.,parse_fail
00327-xgLmjqzoAzF/tasks-island_0.json,17,4,Put on the shoe.,Place the shoe.,parse_fail
00327-xgLmjqzoAzF/tasks-island_0.json,56,5,Put on the bag.,Store the bag.,parse_fail
00327-xgLmjqzoAzF/tasks-island_0.json,143,2,Put them in the bag.,Store the bag.,parse_fail
00327-xgLmjqzoAzF/tasks-island_0.json,161,2,Adjust the weight on the exercise equipment.,Place exercise equipment on surface.,parse_fail
00327-xgLmjqzoAzF/tasks-island_0.json,169,3,Adjust the brightness on the screen.,Place screen on surface.,parse_fail
00327-xgLmjqzoAzF/tasks-island_0.json,264,2,Put on the robe.,Place the robe.,parse_fail
00327-xgLmjqzoAzF/tasks-island_0.json,312,5,Put on the shoe.,Place the shoe.,parse_fail
00366-fxbzYAGkrtm/tasks-island_0.json,43,2,Place it in the basket.,Store the basket.,parse_fail
00378-DqJKU7YU7dA/tasks-island_1.json,72,4,Put them in the bin.,Store the bin.,parse_fail
00378-DqJKU7YU7dA/tasks-island_1.json,271,6,Put on a record on the music player.,Place music player on surface.,parse_fail
00378-DqJKU7YU7dA/tasks-island_1.json,285,6,Put on the music player.,Place the music player.,parse_fail
00382-S7uMvxjBVZq/tasks-island_0.json,24,3,Put on the shoe.,Place the shoe.,parse_fail
00382-S7uMvxjBVZq/tasks-island_0.json,70,3,Put on the backpack.,Store the backpack.,parse_fail
00382-S7uMvxjBVZq/tasks-island_0.json,77,4,Put them in the backpack.,Store the backpack.,parse_fail
