rule,file,task_idx,step_id,step,status,old_action,new_action,old_text,new_text,old_relation,new_relation,marker,remove_tag,note
G2,00006-HkseAnWCgqk/tasks-island_2.json,23,1,Arrange the dining table.,OK,place_on,straighten,Place dining table on surface.,Straighten the dining table.,on,,;referent_grounding_v1:G2,,X=dining table
G2,00006-HkseAnWCgqk/tasks-island_2.json,40,3,Arrange the bottles of wine.,OK,place_on,straighten,Place bottles of wine on surface.,Straighten the bottles of wine.,on,,;referent_grounding_v1:G2,,X=bottles of wine
G1,00006-HkseAnWCgqk/tasks-island_4.json,4,1,Put the books back in the book rack.,OK,place_on,place_in,Place items on the book rack.,Place the books in the book rack.,on,in,;referent_grounding_v1:G1,,X=books|Y=book rack
G3,00006-HkseAnWCgqk/tasks-island_4.json,8,5,Place the phone in the suitcase side pocket.,OK,place_in,place_in,Place items in the cellular_telephone.,Place the phone in the cellular_telephone.,in,in,;referent_grounding_v1:G3,,NP=phone
G1,00006-HkseAnWCgqk/tasks-island_4.json,9,4,Organize the items on the shelf.,OK,place_on,place_on,Place shelf on surface.,Place the items on the shelf.,on,on,;referent_grounding_v1:G1,,X=items|Y=shelf
G1,00006-HkseAnWCgqk/tasks-island_4.json,9,5,Arrange the books in the book rack.,OK,place_in,place_in,Place book rack in receptacle.,Place the books in the book rack.,in,in,;referent_grounding_v1:G1,,X=books|Y=book rack
G3,00006-HkseAnWCgqk/tasks-island_4.json,11,4,Put the phone into the backpack.,OK,place_in,place_in,Place items in the cellular_telephone.,Place the phone in the cellular_telephone.,in,in,;referent_grounding_v1:G3,,NP=phone
G1,00006-HkseAnWCgqk/tasks-island_4.json,16,2,Position the lamp on the desk.,OK,place_on,place_on,Place lamp on surface.,Place the lamp on the desk.,on,on,;referent_grounding_v1:G1,,X=lamp|Y=desk
G2,00006-HkseAnWCgqk/tasks-island_4.json,16,4,Arrange the books neatly.,OK,place_on,straighten,Place book on surface.,Straighten the books.,on,,;referent_grounding_v1:G2,,X=books
G3,00006-HkseAnWCgqk/tasks-island_4.json,16,5,Place the phone on the table.,OK,place_on,place_on,Place items on the cellular_telephone.,Place the phone on the cellular_telephone.,on,on,;referent_grounding_v1:G3,,NP=phone
G3,00006-HkseAnWCgqk/tasks-island_4.json,18,3,Put the books away in the cabinet.,OK,store,store,Store items in the cabinet.,Store the books in the cabinet.,in,in,;referent_grounding_v1:G3,,NP=books
G1,00006-HkseAnWCgqk/tasks-island_4.json,25,1,Arrange the books on the book rack.,OK,place_on,place_on,Place book rack on surface.,Place the books on the book rack.,on,on,;referent_grounding_v1:G1,,X=books|Y=book rack
G2,00006-HkseAnWCgqk/tasks-island_4.json,26,4,Arrange the shelf.,OK,place_on,straighten,Place shelf on surface.,Straighten the shelf.,on,,;referent_grounding_v1:G2,,X=shelf
G1,00006-HkseAnWCgqk/tasks-island_4.json,31,4,Organize items on the shelf.,OK,place_on,place_on,Place shelf on surface.,Place the items on the shelf.,on,on,;referent_grounding_v1:G1,,X=items|Y=shelf
G2,00006-HkseAnWCgqk/tasks-island_4.json,33,5,Arrange the shelf.,OK,place_on,straighten,Place shelf on surface.,Straighten the shelf.,on,,;referent_grounding_v1:G2,,X=shelf
G1,00009-vLpv2VX547B/tasks-island_0.json,0,3,Arrange the books on the bookshelf in the study.,OK,place_in,place_on,Place bookshelf in receptacle.,Place the books on the bookshelf.,in,on,;referent_grounding_v1:G1,,X=books|Y=bookshelf
G1,00009-vLpv2VX547B/tasks-island_0.json,1,4,Set the plate on the table.,OK,place_on,place_on,Place plate on surface.,Place the plate on the table.,on,on,;referent_grounding_v1:G1,,X=plate|Y=table
G1,00009-vLpv2VX547B/tasks-island_0.json,11,4,Arrange the flower in the vase.,OK,place_in,place_in,Place flower in receptacle.,Place the flower in the vase.,in,in,;referent_grounding_v1:G1,,X=flower|Y=vase
G1,00009-vLpv2VX547B/tasks-island_0.json,30,3,Arrange the books on the bookshelf.,OK,place_on,place_on,Place bookshelf on surface.,Place the books on the bookshelf.,on,on,;referent_grounding_v1:G1,,X=books|Y=bookshelf
G2,00009-vLpv2VX547B/tasks-island_0.json,32,4,Arrange the drum set.,OK,place_on,straighten,Place drum on surface.,Straighten the drum set.,on,,;referent_grounding_v1:G2,,X=drum set
G2,00009-vLpv2VX547B/tasks-island_0.json,34,4,Position the mouse.,OK,place_on,reposition,Place mouse on surface.,Reposition the mouse.,on,,;referent_grounding_v1:G2,,X=mouse
G3,00009-vLpv2VX547B/tasks-island_0.json,37,3,Fluff the pillows on the couch.,OK,fluff,fluff,Fluff items on the couch.,Fluff the pillows on the couch.,on,on,;referent_grounding_v1:G3,,NP=pillows
G2,00009-vLpv2VX547B/tasks-island_0.json,40,3,Arrange the flower.,OK,place_on,straighten,Place flower on surface.,Straighten the flower.,on,,;referent_grounding_v1:G2,,X=flower
G2,00009-vLpv2VX547B/tasks-island_0.json,56,4,Position the mouse.,OK,place_on,reposition,Place mouse on surface.,Reposition the mouse.,on,,;referent_grounding_v1:G2,,X=mouse
G1,00009-vLpv2VX547B/tasks-island_0.json,101,4,Arrange the books on the bookshelf.,OK,place_on,place_on,Place bookshelf on surface.,Place the books on the bookshelf.,on,on,;referent_grounding_v1:G1,,X=books|Y=bookshelf
G1,00009-vLpv2VX547B/tasks-island_0.json,105,2,Set the tray on the table.,OK,place_on,place_on,Place tray on surface.,Place the tray on the table.,on,on,;referent_grounding_v1:G1,,X=tray|Y=table
G2,00009-vLpv2VX547B/tasks-island_0.json,112,5,Arrange the hanger.,OK,place_on,straighten,Place hanger on surface.,Straighten the hanger.,on,,;referent_grounding_v1:G2,,X=hanger
G2,00009-vLpv2VX547B/tasks-island_0.json,117,3,Set the plate.,OK,place_on,straighten,Place plate on surface.,Straighten the plate.,on,,;referent_grounding_v1:G2,,X=plate
G2,00009-vLpv2VX547B/tasks-island_0.json,125,4,Arrange the flower stand.,OK,place_on,straighten,Place flower stand on surface.,Straighten the flower stand.,on,,;referent_grounding_v1:G2,,X=flower stand
G2,00009-vLpv2VX547B/tasks-island_0.json,134,2,Arrange the speaker.,OK,place_on,straighten,Place speaker on surface.,Straighten the speaker.,on,,;referent_grounding_v1:G2,,X=speaker
G1,00009-vLpv2VX547B/tasks-island_0.json,134,3,Sort the books on the bookshelf.,OK,place_on,place_on,Place bookshelf on surface.,Place the books on the bookshelf.,on,on,;referent_grounding_v1:G1,,X=books|Y=bookshelf
G1,00009-vLpv2VX547B/tasks-island_0.json,142,3,Organize the clutter on the stand.,OK,place_on,place_on,Place stand on surface.,Place the clutter on the stand.,on,on,;referent_grounding_v1:G1,,X=clutter|Y=stand
G1,00009-vLpv2VX547B/tasks-island_0.json,147,5,Arrange the book on the bookshelf.,OK,place_on,place_on,Place book on surface.,Place the book on the bookshelf.,on,on,;referent_grounding_v1:G1,,X=book|Y=bookshelf
G2,00009-vLpv2VX547B/tasks-island_0.json,151,2,Arrange the ornament.,OK,place_on,straighten,Place ornament on surface.,Straighten the ornament.,on,,;referent_grounding_v1:G2,,X=ornament
G1,00009-vLpv2VX547B/tasks-island_0.json,151,3,Set the flowerpot near the window.,OK,place_on,place_on,Place flowerpot on surface.,Place the flowerpot near the window.,on,at,;referent_grounding_v1:G1,,X=flowerpot|Y=window
G2,00009-vLpv2VX547B/tasks-island_0.json,161,4,Arrange the guitar.,OK,place_on,straighten,Place guitar on surface.,Straighten the guitar.,on,,;referent_grounding_v1:G2,,X=guitar
G2,00009-vLpv2VX547B/tasks-island_0.json,168,2,Arrange the guitar.,OK,place_on,straighten,Place guitar on surface.,Straighten the guitar.,on,,;referent_grounding_v1:G2,,X=guitar
G3,00009-vLpv2VX547B/tasks-island_0.json,170,3,Fluff the pillow on the couch.,OK,fluff,fluff,Fluff items on the couch.,Fluff the pillow on the couch.,on,on,;referent_grounding_v1:G3,,NP=pillow
G1,00009-vLpv2VX547B/tasks-island_0.json,173,3,Organize the book in the bookshelf.,OK,place_in,place_in,Place bookshelf in receptacle.,Place the book in the bookshelf.,in,in,;referent_grounding_v1:G1,,X=book|Y=bookshelf
G1,00009-vLpv2VX547B/tasks-island_0.json,185,4,Organize the brushes on the tray.,OK,place_on,place_on,Place tray on surface.,Place the brushes on the tray.,on,on,;referent_grounding_v1:G1,,X=brushes|Y=tray
G3,00009-vLpv2VX547B/tasks-island_0.json,202,6,Put away the coffee beans in the kitchen cabinet.,OK,store,store,Store items in the kitchen cabinet.,Store the coffee beans in the kitchen cabinet.,in,in,;referent_grounding_v1:G3,,NP=coffee beans
G1,00009-vLpv2VX547B/tasks-island_0.json,214,5,Organize the tools in the storage cabinet.,OK,place_in,place_in,Place storage cabinet in receptacle.,Place the tools in the storage cabinet.,in,in,;referent_grounding_v1:G1,,X=tools|Y=storage cabinet
G1,00009-vLpv2VX547B/tasks-island_0.json,215,6,Organize the files in the cabinet.,OK,place_in,place_in,Place cabinet in receptacle.,Place the files in the cabinet.,in,in,;referent_grounding_v1:G1,,X=files|Y=cabinet
G1,00009-vLpv2VX547B/tasks-island_0.json,217,5,Set the plate on the table.,OK,place_on,place_on,Place plate on surface.,Place the plate on the table.,on,on,;referent_grounding_v1:G1,,X=plate|Y=table
G1,00009-vLpv2VX547B/tasks-island_0.json,241,2,Sort the clothes in the box.,OK,place_in,place_in,Place box in receptacle.,Place the clothes in the box.,in,in,;referent_grounding_v1:G1,,X=clothes|Y=box
G1,00009-vLpv2VX547B/tasks-island_0.json,245,4,Arrange the ornament on the shelf.,OK,place_on,place_on,Place ornament on surface.,Place the ornament on the shelf.,on,on,;referent_grounding_v1:G1,,X=ornament|Y=shelf
G1,00009-vLpv2VX547B/tasks-island_0.json,251,7,Organize the books on the bookshelf.,OK,place_on,place_on,Place bookshelf on surface.,Place the books on the bookshelf.,on,on,;referent_grounding_v1:G1,,X=books|Y=bookshelf
G2,00009-vLpv2VX547B/tasks-island_0.json,255,3,Set the toaster for a snack.,OK,place_on,straighten,Place toaster on surface.,Straighten the toaster.,on,,;referent_grounding_v1:G2,,X=toaster
G2,00009-vLpv2VX547B/tasks-island_0.json,258,7,Set the camera for a photo.,OK,place_on,straighten,Place camera on surface.,Straighten the camera.,on,,;referent_grounding_v1:G2,,X=camera
G2,00009-vLpv2VX547B/tasks-island_0.json,260,3,Arrange the shelf.,OK,place_on,straighten,Place shelf on surface.,Straighten the shelf.,on,,;referent_grounding_v1:G2,,X=shelf
G2,00009-vLpv2VX547B/tasks-island_0.json,263,4,Set the toaster for bread.,OK,place_on,straighten,Place toaster on surface.,Straighten the toaster.,on,,;referent_grounding_v1:G2,,X=toaster
G2,00009-vLpv2VX547B/tasks-island_0.json,272,5,Arrange the bookshelf.,OK,place_on,straighten,Place bookshelf on surface.,Straighten the bookshelf.,on,,;referent_grounding_v1:G2,,X=bookshelf
G1,00009-vLpv2VX547B/tasks-island_0.json,275,1,Set the plate on the table.,OK,place_on,place_on,Place plate on surface.,Place the plate on the table.,on,on,;referent_grounding_v1:G1,,X=plate|Y=table
G1,00016-qk9eeNeR4vw/tasks-island_1.json,5,1,Organize the books on the shelf.,OK,place_on,place_on,Place shelf on surface.,Place the books on the shelf.,on,on,;referent_grounding_v1:G1,,X=books|Y=shelf
G2,00016-qk9eeNeR4vw/tasks-island_1.json,7,2,Arrange the patio chair.,OK,place_on,straighten,Place patio chair on surface.,Straighten the patio chair.,on,,;referent_grounding_v1:G2,,X=patio chair
