file,task_idx,step_id,rule,old_action,new_action,old_atomic_step,new_atomic_step,relation,mapping_source_op,step_orig
00009-vLpv2VX547B/tasks-island_0.json,59,4,F2_warm_inspect,inspect,turn_on,Inspect the heater.,Turn on the heater.,None,+vocab_extension_v1:inspect->turn_on,Warm the room with the heater.
00016-qk9eeNeR4vw/tasks-island_1.json,84,2,R4_appliance_clean,turn_on,turn_on,Turn on the grill.,Turn on the grill.,on,-vocab_gap:*; +idiom_ok:turn_on_appliance,Prepare the grill.
00016-qk9eeNeR4vw/tasks-island_1.json,98,2,R4_roll_flag,carry,carry,Carry the rug.,Carry the rug.,None,+vocab_gap:roll,Roll out the rug.
00017-oEPjPNSPmzL/tasks-island_1.json,11,3,R4_appliance_clean,turn_on,turn_on,Turn on kettle.,Turn on kettle.,None,-vocab_gap:*; +idiom_ok:turn_on_appliance,Boil water in the kettle.
00017-oEPjPNSPmzL/tasks-island_1.json,33,4,R4_appliance_clean,turn_off,turn_off,Turn off the kettle.,Turn off the kettle.,None,-vocab_gap:*; +idiom_ok:turn_on_appliance,Turn off the kettle.
00017-oEPjPNSPmzL/tasks-island_1.json,69,4,R4_appliance_clean,turn_on,turn_on,Turn on the kettle.,Turn on the kettle.,on,-vocab_gap:*; +idiom_ok:turn_on_appliance,Prepare the kettle.
00017-oEPjPNSPmzL/tasks-island_1.json,86,4,R4_appliance_clean,turn_on,turn_on,Turn on kettle.,Turn on kettle.,None,-vocab_gap:*; +idiom_ok:turn_on_appliance,Boil water in the kettle.
00017-oEPjPNSPmzL/tasks-island_1.json,91,5,R4_appliance_clean,turn_on,turn_on,Turn on kettle.,Turn on kettle.,None,-vocab_gap:*; +idiom_ok:turn_on_appliance,Boil the kettle.
00020-XYyR54sxe6b/tasks-island_0.json,14,1,R4_appliance_clean,turn_on,turn_on,Turn on kettle.,Turn on kettle.,None,-vocab_gap:*; +idiom_ok:turn_on_appliance,Boil water in the kettle.
00020-XYyR54sxe6b/tasks-island_0.json,27,1,R4_appliance_clean,turn_on,turn_on,Turn on kettle.,Turn on kettle.,None,-vocab_gap:*; +idiom_ok:turn_on_appliance,Boil water in the kettle.
00020-XYyR54sxe6b/tasks-island_0.json,32,4,R4_appliance_clean,turn_on,turn_on,Turn on the kettle.,Turn on the kettle.,on,-vocab_gap:*; +idiom_ok:turn_on_appliance,Turn on the kettle for tea.
00020-XYyR54sxe6b/tasks-island_0.json,57,4,R4_appliance_clean,turn_on,turn_on,Turn on the kettle.,Turn on the kettle.,on,-vocab_gap:*; +idiom_ok:turn_on_appliance,Turn on the kettle.
00020-XYyR54sxe6b/tasks-island_0.json,72,5,R4_appliance_clean,turn_on,turn_on,Turn on the kettle.,Turn on the kettle.,on,-vocab_gap:*; +idiom_ok:turn_on_appliance,Turn on the kettle.
00020-XYyR54sxe6b/tasks-island_0.json,85,1,R4_appliance_clean,turn_on,turn_on,Turn on the kettle.,Turn on the kettle.,on,-vocab_gap:*; +idiom_ok:turn_on_appliance,Turn on the kettle.
00022-gmuS7Wgsbrx/tasks-island_0.json,17,2,R1_light,turn_on,light,Turn on the candle.,Light the candle.,on,+vocab_extension_v1:turn_on->light; -vocab_gap:no_ignite_action,Light the candle.
00022-gmuS7Wgsbrx/tasks-island_0.json,40,4,R1_light,turn_on,light,Turn on the candle.,Light the candle.,on,+vocab_extension_v1:turn_on->light; -vocab_gap:no_ignite_action,Light the candle.
00022-gmuS7Wgsbrx/tasks-island_0.json,42,4,R4_appliance_clean,turn_on,turn_on,Turn on kettle.,Turn on kettle.,None,-vocab_gap:*; +idiom_ok:turn_on_appliance,Boil water with the kettle.
00022-gmuS7Wgsbrx/tasks-island_0.json,61,3,R1_light,turn_on,light,Turn on the candle.,Light the candle.,on,+vocab_extension_v1:turn_on->light; -vocab_gap:no_ignite_action,Light the candle.
00022-gmuS7Wgsbrx/tasks-island_0.json,73,2,R1_light,turn_on,light,Turn on the candle.,Light the candle.,on,+vocab_extension_v1:turn_on->light; -vocab_gap:no_ignite_action,Light a candle.
00022-gmuS7Wgsbrx/tasks-island_0.json,82,1,R4_appliance_clean,turn_off,turn_off,Turn off the kettle.,Turn off the kettle.,None,-vocab_gap:*; +idiom_ok:turn_on_appliance,Turn off the kettle.
00022-gmuS7Wgsbrx/tasks-island_0.json,100,1,R1_light,turn_on,light,Turn on the candle.,Light the candle.,on,+vocab_extension_v1:turn_on->light; -vocab_gap:no_ignite_action,Light the candle.
