file,task_idx,step_id,step,atomic_step,labels,vague_words,action_id
00006-HkseAnWCgqk\tasks-island_2.json,23,1,Arrange the dining table.,Place dining table on surface.,dining table,surface,place_on
00006-HkseAnWCgqk\tasks-island_2.json,40,3,Arrange the bottles of wine.,Place bottles of wine on surface.,bottles of wine,surface,place_on
00006-HkseAnWCgqk\tasks-island_2.json,50,1,Move the painting to a new spot.,Carry the painting to the new spot.,painting,spot,carry
00006-HkseAnWCgqk\tasks-island_4.json,0,2,Pack the items on the shelf.,Place items on the shelf.,shelf,items,place_on
00006-HkseAnWCgqk\tasks-island_4.json,4,1,Put the books back in the book rack.,Place items on the book rack.,book rack,items,place_on
00006-HkseAnWCgqk\tasks-island_4.json,7,3,Open the cabinet to store items.,Open the cabinet to store items.,cabinet,items,open
00006-HkseAnWCgqk\tasks-island_4.json,8,5,Place the phone in the suitcase side pocket.,Place items in the cellular_telephone.,cellular_telephone,items,place_in
00006-HkseAnWCgqk\tasks-island_4.json,9,4,Organize the items on the shelf.,Place shelf on surface.,shelf,surface,place_on
00006-HkseAnWCgqk\tasks-island_4.json,9,5,Arrange the books in the book rack.,Place book rack in receptacle.,book rack,receptacle,place_in
00006-HkseAnWCgqk\tasks-island_4.json,11,4,Put the phone into the backpack.,Place items in the cellular_telephone.,cellular_telephone,items,place_in
00006-HkseAnWCgqk\tasks-island_4.json,15,2,Pack items from the shelf.,Place items on the shelf.,shelf,items,place_on
00006-HkseAnWCgqk\tasks-island_4.json,16,2,Position the lamp on the desk.,Place lamp on surface.,lamp,surface,place_on
00006-HkseAnWCgqk\tasks-island_4.json,16,4,Arrange the books neatly.,Place book on surface.,book,surface,place_on
00006-HkseAnWCgqk\tasks-island_4.json,16,5,Place the phone on the table.,Place items on the cellular_telephone.,cellular_telephone,items,place_on
00006-HkseAnWCgqk\tasks-island_4.json,18,3,Put the books away in the cabinet.,Store items in the cabinet.,cabinet,items,store
00006-HkseAnWCgqk\tasks-island_4.json,25,1,Arrange the books on the book rack.,Place book rack on surface.,book rack,surface,place_on
00006-HkseAnWCgqk\tasks-island_4.json,26,4,Arrange the shelf.,Place shelf on surface.,shelf,surface,place_on
00006-HkseAnWCgqk\tasks-island_4.json,31,4,Organize items on the shelf.,Place shelf on surface.,shelf,surface,place_on
00006-HkseAnWCgqk\tasks-island_4.json,33,5,Arrange the shelf.,Place shelf on surface.,shelf,surface,place_on
00009-vLpv2VX547B\tasks-island_0.json,0,3,Arrange the books on the bookshelf in the study.,Place bookshelf in receptacle.,bookshelf,receptacle,place_in
00009-vLpv2VX547B\tasks-island_0.json,1,4,Set the plate on the table.,Place plate on surface.,plate,surface,place_on
00009-vLpv2VX547B\tasks-island_0.json,4,4,Turn on the lamp in the music area.,Turn on the lamp in the music area.,lamp,area,turn_on
00009-vLpv2VX547B\tasks-island_0.json,7,4,Adjust the hair dryer in the bathroom cabinet.,Place bathroom cabinet in receptacle.,bathroom cabinet,receptacle,place_in
00009-vLpv2VX547B\tasks-island_0.json,11,4,Arrange the flower in the vase.,Place flower in receptacle.,flower,receptacle,place_in
00009-vLpv2VX547B\tasks-island_0.json,17,1,Check inside the container.,Inspect the container.,container,container,inspect
00009-vLpv2VX547B\tasks-island_0.json,23,4,Dust the picture in the storage area.,Dust the picture in the storage area.,picture,area,dust
00009-vLpv2VX547B\tasks-island_0.json,25,3,Put the food into a container.,Place the food in a container.,container,container,place_in
00009-vLpv2VX547B\tasks-island_0.json,26,1,Hang the jacket in the wardrobe.,Hang items in the wardrobe.,wardrobe,items,hang
00009-vLpv2VX547B\tasks-island_0.json,26,4,Straighten the mirror in the dressing area.,Straighten the mirror in the dressing area.,mirror,area,straighten
00009-vLpv2VX547B\tasks-island_0.json,29,2,Load the clothes into the washing machine.,Load items into the washing machine.,washing machine,items,load
00009-vLpv2VX547B\tasks-island_0.json,30,2,Refill the paper in the printer.,Use the printer to load items.,printer,items,load
00009-vLpv2VX547B\tasks-island_0.json,30,3,Arrange the books on the bookshelf.,Place bookshelf on surface.,bookshelf,surface,place_on
00009-vLpv2VX547B\tasks-island_0.json,32,4,Arrange the drum set.,Place drum on surface.,drum,surface,place_on
00009-vLpv2VX547B\tasks-island_0.json,34,4,Position the mouse.,Place mouse on surface.,mouse,surface,place_on
00009-vLpv2VX547B\tasks-island_0.json,37,3,Fluff the pillows on the couch.,Fluff items on the couch.,couch,items,fluff
00009-vLpv2VX547B\tasks-island_0.json,40,3,Arrange the flower.,Place flower on surface.,flower,surface,place_on
00009-vLpv2VX547B\tasks-island_0.json,47,3,Place items on the shelf.,Place items on the shelf.,shelf,items,place_on
00009-vLpv2VX547B\tasks-island_0.json,56,4,Position the mouse.,Place mouse on surface.,mouse,surface,place_on
00009-vLpv2VX547B\tasks-island_0.json,66,5,Clean the kitchen appliance used.,Wipe kitchen appliance.,kitchen appliance,appliance,wipe
00009-vLpv2VX547B\tasks-island_0.json,73,3,Prepare some snacks on a plate.,Place items on the plate.,plate,items,place_on
00009-vLpv2VX547B\tasks-island_0.json,75,4,Move the flower stand to a sunnier spot.,Carry the flower stand to the sunnier spot.,flower stand,spot,carry
00009-vLpv2VX547B\tasks-island_0.json,75,5,Add fertilizer from the container.,Open the container.,container,container,open
00009-vLpv2VX547B\tasks-island_0.json,76,4,Hang clothes on the hanger.,Hang items on the hanger.,hanger,items,hang
00009-vLpv2VX547B\tasks-island_0.json,78,4,Wipe the floor near the ventilation.,Wipe the area near the ventilation.,ventilation,area,wipe
00009-vLpv2VX547B\tasks-island_0.json,90,5,Move the bag to a better spot.,Carry the bag to the better spot.,bag,spot,carry
00009-vLpv2VX547B\tasks-island_0.json,98,5,Bring it to the chair in the living area.,Reposition the chair in the living area.,chair,area,reposition
00009-vLpv2VX547B\tasks-island_0.json,100,3,Hang my clothes in the wardrobe.,Hang items in the wardrobe.,wardrobe,items,hang
00009-vLpv2VX547B\tasks-island_0.json,101,4,Arrange the books on the bookshelf.,Place bookshelf on surface.,bookshelf,surface,place_on
00009-vLpv2VX547B\tasks-island_0.json,105,2,Set the tray on the table.,Place tray on surface.,tray,surface,place_on
00009-vLpv2VX547B\tasks-island_0.json,112,5,Arrange the hanger.,Place hanger on surface.,hanger,surface,place_on
00009-vLpv2VX547B\tasks-island_0.json,117,3,Set the plate.,Place plate on surface.,plate,surface,place_on
00009-vLpv2VX547B\tasks-island_0.json,117,5,Use the kitchen appliance.,Inspect the kitchen appliance.,kitchen appliance,appliance,inspect
00009-vLpv2VX547B\tasks-island_0.json,125,4,Arrange the flower stand.,Place flower stand on surface.,flower stand,surface,place_on
00009-vLpv2VX547B\tasks-island_0.json,134,2,Arrange the speaker.,Place speaker on surface.,speaker,surface,place_on
00009-vLpv2VX547B\tasks-island_0.json,134,3,Sort the books on the bookshelf.,Place bookshelf on surface.,bookshelf,surface,place_on
00009-vLpv2VX547B\tasks-island_0.json,140,6,Put the pan on the kitchen appliance.,Place the pan on the kitchen appliance.,pan,appliance,place_on
