file,task_idx,step_id,step,atomic_step,verdict,new_action,new_text,note
00009-vLpv2VX547B/tasks-island_0.json,7,4,Adjust the hair dryer in the bathroom cabinet.,Place bathroom cabinet in receptacle.,G2_tidy,straighten,Straighten the hair dryer.,adjust=调整→straighten
00009-vLpv2VX547B/tasks-island_0.json,128,2,Put it in the box.,Store the box.,FLAG,,,代词受事无法还原
00009-vLpv2VX547B/tasks-island_0.json,260,2,Place it in the storage box.,Store the storage box.,FLAG,,,代词受事无法还原
00017-oEPjPNSPmzL/tasks-island_1.json,88,3,Re-position the decorative plant.,Place decorative plant on surface.,G2_tidy,reposition,Reposition the decorative plant.,连字符导致解析失败
00022-gmuS7Wgsbrx/tasks-island_0.json,159,2,Sort them on the book rack.,Place book rack on surface.,G1_fix,place_on,Place the them on the book rack.,sort→place_on
00022-gmuS7Wgsbrx/tasks-island_0.json,391,2,Put them in the basket.,Store the basket.,FLAG,,,代词受事无法还原
00022-gmuS7Wgsbrx/tasks-island_0.json,400,1,Gather books from the book rack.,Place book rack on surface.,G1_fix,place_on,Place the books from the book rack.,gather→place_on
00022-gmuS7Wgsbrx/tasks-island_0.json,403,2,Put it in the backpack.,Store the backpack.,FLAG,,,代词受事无法还原
00025-ixTj1aTMup2/tasks-island_0.json,19,3,Set the cooker to off.,Place cooker on surface.,FLAG,,,"设备控制义,当前action可能已正确(set_control/turn_on)"
00034-6imZUJGRUq4/tasks-island_0.json,4,2,Put them in the basket.,Store the basket.,FLAG,,,代词受事无法还原
00034-6imZUJGRUq4/tasks-island_0.json,6,2,Put it in the storage box.,Store the storage box.,FLAG,,,代词受事无法还原
00055-HxmXPBbFCkH/tasks-island_1.json,67,5,Align books on the shelf.,Place shelf on surface.,G1_fix,align,Align the books on the shelf.,align→align
00057-1UnKg1rAb8A/tasks-island_0.json,70,2,Fold the clothes into the chest of drawers.,Place chest of drawers in receptacle.,G1_fix,fold,Fold the clothes into the chest of drawers.,fold保真
00057-1UnKg1rAb8A/tasks-island_0.json,77,5,Fold clothes into the drawer.,Place drawer in receptacle.,G1_fix,fold,Fold the clothes into the drawer.,fold保真
00057-1UnKg1rAb8A/tasks-island_1.json,34,1,Adjust the bedding in the cradle.,Place cradle in receptacle.,G2_tidy,straighten,Straighten the bedding.,adjust=调整→straighten
00057-1UnKg1rAb8A/tasks-island_1.json,34,6,Neatly arrange books on the shelf.,Place shelf on surface.,G1_fix,place_on,Place the books on the shelf.,"副词前缀导致解析失败,手动G1"
00064-gQgtJ9Stk5s/tasks-island_0.json,63,2,Reorganize the shelving in the dining room.,Place shelving in receptacle.,G1_fix,place_in,Place the shelving in the dining room.,reorganize→place
00064-gQgtJ9Stk5s/tasks-island_0.json,76,2,Reorganize the shelving in the dining room.,Place shelving in receptacle.,G1_fix,place_in,Place the shelving in the dining room.,reorganize→place
00096-6HRFAUDqpTb/tasks-island_0.json,53,1,Put on the rack of weights.,Place the rack of weights.,G2_tidy,straighten,Straighten the rack of weights.,"穿戴义无对应动作,降级straighten(整理)"
00096-6HRFAUDqpTb/tasks-island_0.json,77,5,Reorganize the shelf in the refrigerator.,Place refrigerator in receptacle.,G1_fix,place_in,Place the shelf in the refrigerator.,reorganize→place
00105-xWvSkKiWQpC/tasks-island_0.json,149,2,File in the file cabinet.,Store the file cabinet.,G1_fix,store,Store the files in the file cabinet.,file=归档→store
00109-GTV2Y73Sn5t/tasks-island_0.json,139,4,File in the cabinet.,Store the cabinet.,G1_fix,store,Store the files in the cabinet.,file=归档→store
00109-GTV2Y73Sn5t/tasks-island_0.json,177,5,Put on the backpack.,Store the backpack.,G2_tidy,straighten,Straighten the backpack.,"穿戴义无对应动作,降级straighten(整理)"
00135-HeSYRw7eMtG/tasks-island_0.json,29,3,Put on the handbag.,Place the handbag.,G2_tidy,straighten,Straighten the handbag.,"穿戴义无对应动作,降级straighten(整理)"
00135-HeSYRw7eMtG/tasks-island_0.json,37,2,Put them in the basket.,Store the basket.,FLAG,,,代词受事无法还原
00135-HeSYRw7eMtG/tasks-island_0.json,54,2,Put it in the basket.,Store the basket.,FLAG,,,代词受事无法还原
00143-5Kw4nGdqYtS/tasks-island_0.json,96,6,Put on the shoe.,Place the shoe.,G2_tidy,straighten,Straighten the shoe.,"穿戴义无对应动作,降级straighten(整理)"
00150-LcAd9dhvVwh/tasks-island_0.json,129,4,Put it in the storage box.,Store the storage box.,FLAG,,,代词受事无法还原
00155-iLDo95ZbDJq/tasks-island_0.json,103,3,Put them in the basket.,Store the basket.,FLAG,,,代词受事无法还原
00172-bB6nKqfsb1z/tasks-island_0.json,9,4,Put them in the bag.,Store the bag.,FLAG,,,代词受事无法还原
00173-qZ4B7U6XE5Y/tasks-island_0.json,124,3,Hide things in the box.,Place box in receptacle.,G1_fix,place_in,Place the things in the box.,hide→place_in
00203-VoVGtfYrpuQ/tasks-island_0.json,155,2,Put on the shoe.,Place the shoe.,G2_tidy,straighten,Straighten the shoe.,"穿戴义无对应动作,降级straighten(整理)"
00205-NEVASPhcrxR/tasks-island_1.json,13,2,Put it in the bin.,Store the bin.,FLAG,,,代词受事无法还原
00205-NEVASPhcrxR/tasks-island_3.json,86,5,Put on the jewelry.,Place the jewelry.,G2_tidy,straighten,Straighten the jewelry.,"穿戴义无对应动作,降级straighten(整理)"
00205-NEVASPhcrxR/tasks-island_3.json,96,3,Put on the backpack.,Store the backpack.,G2_tidy,straighten,Straighten the backpack.,"穿戴义无对应动作,降级straighten(整理)"
00238-j6fHrce9pHR/tasks-island_0.json,31,2,Put it in the backpack.,Store the backpack.,FLAG,,,代词受事无法还原
00238-j6fHrce9pHR/tasks-island_0.json,91,3,Put on the shoe.,Place the shoe.,G2_tidy,straighten,Straighten the shoe.,"穿戴义无对应动作,降级straighten(整理)"
00238-j6fHrce9pHR/tasks-island_0.json,147,1,Repot the plant in the flowerpot.,Place the flowerpot.,G1_fix,place_in,Place the plant in the flowerpot.,repot→place_in
00238-j6fHrce9pHR/tasks-island_0.json,156,1,Put on the shoe.,Place the shoe.,G2_tidy,straighten,Straighten the shoe.,"穿戴义无对应动作,降级straighten(整理)"
00250-U3oQjwTuMX8/tasks-island_0.json,15,3,Serve on the tray.,Place the tray.,FLAG,,,省略受事
00250-U3oQjwTuMX8/tasks-island_0.json,80,1,Repot the plant in the flowerpot.,Place the flowerpot.,G1_fix,place_in,Place the plant in the flowerpot.,repot→place_in
00251-wsAYBFtQaL7/tasks-island_0.json,272,3,Fold items in the chest of drawers.,Place chest of drawers in receptacle.,G1_fix,fold,Fold the items in the chest of drawers.,fold保真
00254-YMNvYDhK8mB/tasks-island_1.json,175,3,Organize everything into the binder.,Place binder in receptacle.,FLAG,,,未分类: organize everything into the binder.
00254-YMNvYDhK8mB/tasks-island_1.json,187,4,Neatly arrange items in the cabinet.,Place cabinet in receptacle.,G1_fix,place_in,Place the items in the cabinet.,"副词前缀导致解析失败,手动G1"
00262-1xGrZPxG1Hz/tasks-island_1.json,45,1,Fold the clothes on the iron board.,Place iron board on surface.,G1_fix,fold,Fold the clothes on the iron board.,fold保真
00263-GGBvSFddQgs/tasks-island_2.json,168,6,Put them in the basket.,Store the basket.,FLAG,,,代词受事无法还原
00269-JNiWU5TZLtt/tasks-island_0.json,30,2,Put it in the bag.,Store the bag.,FLAG,,,代词受事无法还原
00269-JNiWU5TZLtt/tasks-island_0.json,49,4,Put it in the bin.,Store the bin.,FLAG,,,代词受事无法还原
00272-kA2nG18hCAr/tasks-island_0.json,0,4,Place it in the basket.,Store the basket.,FLAG,,,代词受事无法还原
00272-kA2nG18hCAr/tasks-island_0.json,41,2,Put them in the basket.,Store the basket.,FLAG,,,代词受事无法还原
00272-kA2nG18hCAr/tasks-island_0.json,49,2,Adjust the seat on the exercise bike.,Place exercise bike on surface.,G2_tidy,straighten,Straighten the seat.,adjust=调整→straighten
00272-kA2nG18hCAr/tasks-island_1.json,3,2,Place it in the storage box.,Store the storage box.,FLAG,,,代词受事无法还原
00294-PPTLa8SkUfo/tasks-island_0.json,47,3,Place on the stove.,Place the stove.,FLAG,,,省略受事
00299-bdp1XNEdvmW/tasks-island_0.json,32,2,Put them in the basket.,Store the basket.,FLAG,,,代词受事无法还原
00299-bdp1XNEdvmW/tasks-island_0.json,87,3,Put them in the basket.,Store the basket.,FLAG,,,代词受事无法还原
00313-PE6kVEtrxtj/tasks-island_0.json,20,3,Put on the bench.,Place the bench.,G2_tidy,straighten,Straighten the bench.,"穿戴义无对应动作,降级straighten(整理)"
00327-xgLmjqzoAzF/tasks-island_0.json,17,4,Put on the shoe.,Place the shoe.,G2_tidy,straighten,Straighten the shoe.,"穿戴义无对应动作,降级straighten(整理)"
00327-xgLmjqzoAzF/tasks-island_0.json,56,5,Put on the bag.,Store the bag.,G2_tidy,straighten,Straighten the bag.,"穿戴义无对应动作,降级straighten(整理)"
00327-xgLmjqzoAzF/tasks-island_0.json,143,2,Put them in the bag.,Store the bag.,FLAG,,,代词受事无法还原
00327-xgLmjqzoAzF/tasks-island_0.json,161,2,Adjust the weight on the exercise equipment.,Place exercise equipment on surface.,G2_tidy,straighten,Straighten the weight.,adjust=调整→straighten
00327-xgLmjqzoAzF/tasks-island_0.json,169,3,Adjust the brightness on the screen.,Place screen on surface.,G2_tidy,straighten,Straighten the brightness.,adjust=调整→straighten
00327-xgLmjqzoAzF/tasks-island_0.json,264,2,Put on the robe.,Place the robe.,G2_tidy,straighten,Straighten the robe.,"穿戴义无对应动作,降级straighten(整理)"
00327-xgLmjqzoAzF/tasks-island_0.json,312,5,Put on the shoe.,Place the shoe.,G2_tidy,straighten,Straighten the shoe.,"穿戴义无对应动作,降级straighten(整理)"
00366-fxbzYAGkrtm/tasks-island_0.json,43,2,Place it in the basket.,Store the basket.,FLAG,,,代词受事无法还原
00378-DqJKU7YU7dA/tasks-island_1.json,72,4,Put them in the bin.,Store the bin.,FLAG,,,代词受事无法还原
00378-DqJKU7YU7dA/tasks-island_1.json,271,6,Put on a record on the music player.,Place music player on surface.,G2_tidy,straighten,Straighten the record on the music player.,"穿戴义无对应动作,降级straighten(整理)"
00378-DqJKU7YU7dA/tasks-island_1.json,285,6,Put on the music player.,Place the music player.,G2_tidy,straighten,Straighten the music player.,"穿戴义无对应动作,降级straighten(整理)"
00382-S7uMvxjBVZq/tasks-island_0.json,24,3,Put on the shoe.,Place the shoe.,G2_tidy,straighten,Straighten the shoe.,"穿戴义无对应动作,降级straighten(整理)"
00382-S7uMvxjBVZq/tasks-island_0.json,70,3,Put on the backpack.,Store the backpack.,G2_tidy,straighten,Straighten the backpack.,"穿戴义无对应动作,降级straighten(整理)"
00382-S7uMvxjBVZq/tasks-island_0.json,77,4,Put them in the backpack.,Store the backpack.,FLAG,,,代词受事无法还原
00382-S7uMvxjBVZq/tasks-island_0.json,172,2,Put on the shoe.,Place the shoe.,G2_tidy,straighten,Straighten the shoe.,"穿戴义无对应动作,降级straighten(整理)"
00382-S7uMvxjBVZq/tasks-island_0.json,192,5,Put on the shoe.,Place the shoe.,G2_tidy,straighten,Straighten the shoe.,"穿戴义无对应动作,降级straighten(整理)"
00384-ceJTwFNjqCt/tasks-island_0.json,23,1,Neatly arrange the brochures on the stand.,Place brochures on surface.,G1_fix,place_on,Place the brochures on the stand.,"副词前缀导致解析失败,手动G1"
00384-ceJTwFNjqCt/tasks-island_0.json,31,4,Update the labels on the shelf.,Place shelf on surface.,G1_fix,place_on,Place the labels on the shelf.,update→place_on
00386-b3WpMbPFB6q/tasks-island_0.json,21,2,Put them in the basket.,Store the basket.,FLAG,,,代词受事无法还原
00386-b3WpMbPFB6q/tasks-island_0.json,199,6,Place it in the box.,Store the box.,FLAG,,,代词受事无法还原
00410-v7DzfFFEpsD/tasks-island_1.json,242,5,Put in the bag.,Store the bag.,FLAG,,,省略受事
00422-8wJuSPJ9FXG/tasks-island_0.json,125,1,Adjust the shower head on the shower hose.,Place shower hose on surface.,G2_tidy,straighten,Straighten the shower head.,adjust=调整→straighten
